embedding,classifier,model_name,accuracy,precision,recall,f1,roc_auc,pr_auc,cv_f1_mean,cv_f1_std
SentenceBERT,mlp,SentenceBERT_mlp,0.5109489051094891,0.50920245398773,0.6058394160583942,0.5533333333333333,0.5285310884969897,0.5154013949479145,0.483666889085044,0.07187847424824872
DistilBERT,logistic,DistilBERT_logistic,0.551094890510949,0.5507246376811594,0.5547445255474452,0.5527272727272727,0.5618839575896426,0.5493190128615764,0.5097719419699722,0.008877227964023989
SentenceBERT,logistic,SentenceBERT_logistic,0.5437956204379562,0.5422535211267606,0.5620437956204379,0.5519713261648745,0.5317811284564974,0.5055561145766839,0.5135056281584972,0.021660844344068054
DistilBERT,mlp,DistilBERT_mlp,0.5547445255474452,0.5555555555555556,0.5474452554744526,0.5514705882352942,0.5219777292343758,0.5222876256256985,0.48195588423631036,0.02794591986660719
DistilBERT,svm,DistilBERT_svm,0.5,0.5,0.5182481751824818,0.5089605734767025,0.5,0.5,0.49369944032531815,0.02101667930079494
SentenceBERT,svm,SentenceBERT_svm,0.4854014598540146,0.4861111111111111,0.5109489051094891,0.498220640569395,0.472321381000586,0.4911508448243963,0.49889307654703485,0.05293553034124725
SentenceBERT,random_forest,SentenceBERT_random_forest,0.5109489051094891,0.5116279069767442,0.48175182481751827,0.49624060150375937,0.5108956257658905,0.5258139777869217,0.4705230809008881,0.04173652030967613
DistilBERT,random_forest,DistilBERT_random_forest,0.4927007299270073,0.49206349206349204,0.45255474452554745,0.4714828897338403,0.47634397144227186,0.4921319909427238,0.490125211771851,0.03928992769743856
